City,level,PMs,PMs1,PMs2,yagao,myl,msg,xmn,soil,ocean,river,emission
Yuxi City,1,0.000147715,0.000140329,7.39E-06,6.13E-05,2.83E-05,2.70E-05,3.11E-05,6.40E-06,3.45E-05,6.36E-05,0.0001045
Yueyang City,1,0.000230192,0.000218682,1.15E-05,9.54E-05,4.41E-05,4.20E-05,4.86E-05,1.41E-05,4.42E-05,8.12E-05,0.0001395
Yunfu City,1,6.90E-05,6.55E-05,3.45E-06,2.87E-05,1.32E-05,1.26E-05,1.45E-05,3.00E-06,1.61E-05,2.97E-05,0.0000488
Yuncheng City,1,9.85959E-05,9.37E-05,4.93E-06,4.10E-05,1.89E-05,1.79E-05,2.08E-05,4.26E-06,2.31E-05,4.25E-05,0.00006986
Zaozhuang City,1,0.000187666,0.000178283,9.38E-06,7.77E-05,3.58E-05,3.43E-05,3.98E-05,8.12E-06,4.38E-05,8.08E-05,0.00013272
Zhanjiang City,1,0.000397636,0.000377754,1.99E-05,0.000165165,7.62E-05,7.25E-05,8.38E-05,2.42E-05,9.43E-05,0.000123316,0.000241816
Zhangjiajie City,1,0.000192464,0.000182841,9.62E-06,8.00E-05,3.69E-05,3.51E-05,4.05E-05,8.33E-06,4.51E-05,8.27E-05,0.00013613
Zhangjiakou City,1,0.000278024,0.000264123,1.39E-05,1.15E-04,5.31E-05,5.08E-05,5.87E-05,1.20E-05,6.53E-05,1.20E-04,0.0001973
Zhangye City,1,0.000107793,0.000102404,5.39E-06,4.47E-05,2.07E-05,1.96E-05,2.28E-05,4.67E-06,2.51E-05,4.63E-05,0.00007607
Zhangzhou City,1,8.50E-05,8.08E-05,4.25E-06,3.53E-05,1.64E-05,1.55E-05,1.79E-05,5.19E-06,2.01E-05,2.63E-05,0.00005159
Changchun City,1,0.000113776,0.000108087,5.69E-06,4.72E-05,2.18E-05,2.09E-05,2.39E-05,6.94E-06,2.19E-05,4.02E-05,0.00006904
Changsha City,1,0.000192147,0.000182539,9.61E-06,7.99E-05,3.69E-05,3.50E-05,4.04E-05,1.68E-05,2.48E-05,4.59E-05,0.0000875
Changzhi City,1,0.000410685,0.000390151,2.05E-05,0.000170587,7.89E-05,7.49E-05,8.63E-05,1.76E-05,9.63E-05,0.000177206,0.000291106
Zhaotong City,1,0.001105992,0.001050693,5.53E-05,0.000458416,0.000212388,0.000202397,0.000232792,4.80E-05,0.000258176,0.0004758,0.000781976
Zhaoqing City,1,0.000138692,0.000131757,6.93E-06,5.77E-05,2.65E-05,2.54E-05,2.91E-05,6.06E-06,3.23E-05,5.97E-05,0.00009806
Zhenjiang City,1,0.000121297,0.000115232,6.06E-06,5.03E-05,2.33E-05,2.22E-05,2.55E-05,7.43E-06,2.32E-05,4.27E-05,0.00007333
Zhengzhou City,1,0.000174498,0.000165773,8.72E-06,7.24E-05,3.33E-05,3.19E-05,3.69E-05,1.51E-05,2.27E-05,4.18E-05,0.0000796
Zhongshan City,1,0.000106827,0.000101486,5.34E-06,4.43E-05,2.05E-05,1.96E-05,2.25E-05,6.52E-06,2.52E-05,3.30E-05,0.00006472
Zhongwei City,1,0.000117141,0.000111284,5.86E-06,4.85E-05,2.24E-05,2.15E-05,2.48E-05,5.03E-06,2.75E-05,5.06E-05,0.00008313
Chongqing,1,0.002644923,0.002512677,0.000132246,0.001095947,0.000508435,0.000480746,0.000559795,0.000272562,0.000245239,0.000452505,0.000970306
Zhoushan City,1,3.05E-05,2.90E-05,1.52E-06,1.27E-05,5.85E-06,5.56E-06,6.42E-06,1.32E-06,8.79E-06,1.15E-05,0.00002161
Zhoukou City,1,0.000837196,0.000795336,4.19E-05,0.000347459,0.000160515,0.000152618,0.000176604,5.10E-05,0.000160395,0.000296068,0.000507463
Zhuhai City,1,3.65E-05,3.46E-05,1.82E-06,1.51E-05,6.97E-06,6.64E-06,7.70E-06,2.22E-06,8.60E-06,1.12E-05,0.00002202
Zhuzhou City,1,0.000112737,0.0001071,5.64E-06,4.69E-05,2.15E-05,2.06E-05,2.37E-05,6.90E-06,2.16E-05,3.98E-05,0.0000683
Zhumadian City,1,0.000390127,0.000370621,1.95E-05,0.000162023,7.46E-05,7.12E-05,8.22E-05,1.71E-05,9.09E-05,0.00016733,0.00027533
Ziyang City,1,0.000779095,0.00074014,3.90E-05,0.000323239,0.000148654,1.42E-04,0.000164902,3.36E-05,0.000182111,0.000336561,0.000552272
Zibo City,1,9.85E-05,9.36E-05,4.93E-06,4.10E-05,1.88E-05,1.80E-05,2.07E-05,6.03E-06,1.89E-05,3.48E-05,0.00005973
Zigong City,1,0.000555176,0.000527417,2.78E-05,0.000230037,1.07E-04,1.01E-04,1.17E-04,2.40E-05,0.000129872,0.000239022,0.000392894
Zunyi City,1,0.000587976,0.000558577,2.94E-05,0.000243899,0.00011283,0.000107563,0.000123684,3.58E-05,0.000113209,0.000207514,0.000356523
Altay Prefecture,2,0.001200153,0.001140145,6.00E-05,0.00049848,0.000229718,0.000218996,0.000252959,5.18E-05,0.000280921,0.000516901,0.000849622
Ankang City,2,0.003278706,0.003114771,0.000163935,0.001362201,0.000625716,0.000598661,0.000692128,0.000142552,0.000763485,0.001410534,0.002316571
Anqing City,2,0.002591222,0.002461661,0.000129561,0.001076519,0.000496943,0.00047312,0.00054464,0.000111144,0.000607554,0.001119385,0.001838083
Anshun City,2,0.002594268,0.002464555,0.000129713,0.001075399,0.000497008,0.00047331,0.00054855,0.000113234,0.000605616,0.001112167,0.001831017
Anyang City,2,0.001176591,0.001117761,5.88E-05,0.000488216,0.000226234,0.00021467,0.000247471,5.13E-05,0.000273477,0.000505453,0.00083023
Anshan City,2,0.001656843,0.001574001,8.28E-05,0.000690106,0.000316195,0.000302517,0.000348025,7.17E-05,0.000386719,0.00071416,0.001172579
Bayannur City,2,0.000393895,0.0003742,1.97E-05,0.000163911,7.51E-05,7.19E-05,8.30E-05,1.70E-05,9.22E-05,0.000169668,0.000278868
Bazhong City,2,0.007731498,0.007344923,0.000386575,0.003212614,0.001479821,0.001412797,0.001626266,0.000334334,0.001798679,0.003333815,0.005466828
Baicheng City,2,0.0005216,0.00049552,2.61E-05,0.000217523,9.94E-05,9.49E-05,0.000109707,2.26E-05,0.000121782,0.000224406,0.000368788
Baishan City,2,0.000715709,0.000679923,3.58E-05,0.000297009,0.000137252,0.000130226,0.000151221,3.09E-05,0.000167435,0.00030894,0.000507275
Baiyin City,2,0.000646653,0.00061432,3.23E-05,0.000268538,0.000123741,0.000118199,0.000136175,2.79E-05,0.000151402,0.000278112,0.000457414
Baise City,2,0.001886111,0.001791806,9.43E-05,0.000784329,0.000360383,0.000343191,0.000398207,8.17E-05,0.000439696,0.000812096,0.001333492
Bengbu City,2,0.001335354,0.001268587,6.68E-05,0.000553651,0.000255485,0.000245499,0.00028072,5.82E-05,0.000310584,0.000572908,0.000941692
Baotou City,2,0.000458406,0.000435486,2.29E-05,0.000190157,8.81E-05,8.34E-05,9.67E-05,1.98E-05,0.000106967,0.00019752,0.000324287
Baoji City,2,0.002522406,0.002396286,0.00012612,0.001047125,0.000483002,0.000458813,0.000533467,0.000108361,0.000590592,0.00108821,0.001787163
Baoding City,2,0.002212179,0.00210157,1.11E-04,0.000921554,0.000425198,0.000403745,0.000461681,1.35E-04,0.000423187,0.000780072,0.001338259
Baoshan City,2,0.001786223,0.001696911,8.93E-05,0.000744,0.00034242,0.000325674,0.000374129,7.70E-05,0.000419773,0.000771359,0.001268132
Beihai City,2,0.000556737,0.0005289,2.78E-05,0.000230481,0.000106845,0.000102032,0.000117379,2.43E-05,0.000159768,0.00020943,0.000393498
Beijing,2,0.00563327,0.005351606,0.000281663,0.002346039,0.001073383,0.001029247,0.001184601,0.000578949,0.000525406,0.000965055,0.00206941
Benxi City,2,0.000902455,0.000857332,4.51E-05,0.000375637,0.000172575,0.000164041,0.000190202,3.89E-05,0.000210753,0.00038872,0.000638373
Bijie City,2,0.007638445,0.007256523,0.000381922,0.003180774,0.001460198,0.001386722,0.001610751,0.000328786,0.001793264,0.003289959,0.005412009
Binzhou City,2,0.000754985,0.000717236,3.77E-05,0.000313797,0.000144133,0.000137841,0.000159214,3.25E-05,0.000217699,0.000285032,0.000535231
