City,level,MFs_generation,MW,HW,MFs_emission,ocean,soil,river
Jiangmen City,7,10.34990367,10.00319157,0.346712098,6.6415836,2.547087643,0.718398852,3.376097104
Jiaozuo City,7,7.653264931,7.480325861,0.17293907,5.689153907,1.87141987,0.386357394,3.431376643
Jieyang City,7,13.15333502,12.7152984,0.438036628,9.849569891,3.973096218,0.690967141,5.185506532
Jinchang City,7,0.974902109,0.948415791,0.026486318,0.729135558,0.239034507,0.049865666,0.440235384
Jinhua City,7,11.05080273,10.68183144,0.368971288,7.113220196,2.227251624,0.762593729,4.123374843
Jinzhou City,7,6.247251578,6.049736141,0.197515437,4.676546732,1.883926294,0.327806194,2.464814243
Jincheng City,7,5.02137538,4.867676761,0.15369862,3.757925356,1.231322925,0.261744746,2.264857685
Jinzhong City,7,7.241747411,7.021311554,0.220435857,5.425963136,1.779358748,0.374056806,3.272547581
Jingmen City,7,6.251517063,6.049298841,0.202218222,4.680124389,1.533319412,0.328295291,2.818509686
Jingzhou City,7,12.04863845,11.65761139,0.391027058,9.019543897,2.953817058,0.632322932,5.433403907
Jingdezhen City,7,3.661451338,3.459643356,0.201807982,2.762719247,0.900221742,0.207025349,1.655472156
Jiujiang City,7,11.19006332,10.57624223,0.613821094,7.244779033,2.257682223,0.815065002,4.172031809
Jiuquan City,7,2.433823063,2.369717139,0.064105924,1.820370458,0.597576989,0.123561728,1.09923174
Kashgar Prefecture,7,9.853467855,9.626975317,0.226492538,7.371879302,2.424297167,0.489412397,4.458169738
Kaifeng City,7,9.754039551,9.533365341,0.22067421,7.303220297,2.399637308,0.489114374,4.414468615
Karamay City,7,0.980781029,0.957869234,0.022911795,0.733103769,0.239956157,0.04934995,0.443797663
Kizilsu Kirgiz Autonomous Prefecture,7,1.319191666,1.289030106,0.030161561,0.988740605,0.325142318,0.065650587,0.5979477
Kunming City,7,15.65498479,15.19697741,0.45800738,10.05120613,3.162748465,1.077603025,5.810854644
Lhasa City,7,1.565241371,1.49831142,0.06692995,1.173225966,0.381790454,0.085786122,0.70564939
Laibin City,7,4.822583362,4.649351581,0.173231781,3.609473679,1.176476453,0.256316184,2.176681042
Lanzhou City,7,8.082740349,7.868451516,0.214288833,6.032699083,1.981483437,0.410754311,3.640461335
Langfang City,7,10.84687681,10.62541115,0.221465657,6.899789522,2.173835337,0.731323965,3.99463022
Leshan City,7,7.383786333,7.197951366,0.185834968,5.51584357,1.80352239,0.373090832,3.339230348
Lijiang City,7,2.798416498,2.717047946,0.081368552,2.096259333,0.687099373,0.14386037,1.265299591
Lishui City,7,5.861212237,5.667070992,0.194141245,4.381102455,1.435486494,0.308655822,2.636960139
Lianyungang City,7,10.01375754,9.820697001,0.19306054,6.41048971,2.486742583,0.665048506,3.258698622
Liaoyang City,7,3.759166067,3.640714151,0.118451915,2.819750636,0.92243517,0.193918034,1.703397432
Liaoyuan City,7,2.512308711,2.439566235,0.072742476,1.878165717,0.6156565,0.129365346,1.133143871
Liaocheng City,7,13.15525755,12.8342232,0.321034351,9.840628706,3.216051792,0.663400517,5.961176397
Nyingchi City,7,0.516109069,0.493761414,0.022347655,0.388166993,0.126855152,0.027955104,0.233356737
Lincang City,7,5.354147735,5.198324789,0.155822947,4.012867259,1.316396054,0.27212642,2.424344785
Linfen City,7,9.559752072,9.264684232,0.29506784,7.142732039,2.336626437,0.497522127,4.308583474
Linyi City,7,23.49464227,22.92168619,0.572956083,15.01652011,4.716333811,1.597827144,8.702359159
Liuzhou City,7,9.125794956,8.802906287,0.322888669,5.866187147,1.84373943,0.634191355,3.388256362
Lu'an City,7,12.69605167,12.31282079,0.383230875,9.48849664,3.119324356,0.65487613,5.714296154
Liupanshui City,7,7.464800742,7.295035771,0.169764971,5.574016763,1.830268063,0.374696612,3.369052088
Longyan City,7,6.83451724,6.576358327,0.258158913,5.133430049,1.678352826,0.363778441,3.091298782
Longnan City,7,5.656119728,5.507239176,0.148880552,4.216620457,1.381823994,0.28780897,2.546987493
Loudi City,7,8.370368538,8.14851818,0.221850359,6.26613241,2.05715252,0.425743446,3.783236444
Luzhou City,7,11.00396708,10.72291611,0.281050963,8.222108687,2.696621423,0.557750153,4.967737111
Luoyang City,7,15.38413109,15.038738,0.345393098,9.843339298,3.096181992,1.035283076,5.71187423
Luohe City,7,5.666867217,5.539627255,0.127239961,4.237901684,1.394501588,0.280126546,2.56327355
L¨¹liang City,7,8.367600716,8.111965267,0.255635449,6.258986786,2.052619449,0.431762834,3.774604503
Ma'anshan City,7,4.901287947,4.756057464,0.145230483,3.678923848,1.205360203,0.251392051,2.222171594
Maoming City,7,14.38294264,13.89084628,0.492096355,9.267820457,3.584453937,0.9896878,4.69367872
Meishan City,7,7.253551868,7.067407656,0.186144212,5.412197697,1.773552721,0.370680644,3.267964332
Meizhou City,7,9.356213795,9.041231578,0.314982218,7.019579275,2.304354278,0.489221559,4.226003437
Mianyang City,7,11.17900279,10.8946268,0.28437599,8.345168582,2.734578065,0.568378651,5.042211865
Mudanjiang City,7,5.398477551,5.243531695,0.154945856,4.03853055,1.321890366,0.276040719,2.440599465
Nagqu City,7,1.145287185,1.096082136,0.04920505,0.857005683,0.280231111,0.06276728,0.514007292
Nanchang City,7,12.87784316,12.18159096,0.696252194,8.316285718,2.603725914,0.935942063,4.77661774
Nanchong City,7,15.49879507,15.10760362,0.391191453,11.60902503,3.809438381,0.787050105,7.01253655
Nanjing City,7,21.2318073,20.81544298,0.416364325,10.30099121,2.92175972,1.980786296,5.39844519
Nanning City,7,16.70705942,16.1160234,0.591036024,10.73058278,3.353648788,1.164104845,6.21282915
Nanping City,7,6.81433077,6.56199137,0.2523394,5.094147422,1.659775349,0.365682548,3.068689525
Nantong City,7,17.99588163,17.64128422,0.354597407,8.695837066,3.032411306,1.679305946,3.984119814
Nanyang City,7,22.16793469,21.66390251,0.504032184,14.16264067,4.441752514,1.493274452,8.227613702
Neijiang City,7,8.70918938,8.486763026,0.222426355,6.507680196,2.136955978,0.440061279,3.93066294
Ningbo City,7,15.23064701,14.71808204,0.512564967,7.403566535,2.587471747,1.44277699,3.373317798
Ningde City,7,7.589702261,7.303529178,0.286173083,5.684612588,2.281170529,0.407265659,2.9961764
Panzhihua City,7,2.29780584,2.239665762,0.058140078,1.724894323,0.567857986,0.114794635,1.042241702
Panjin City,7,2.756648029,2.668468086,0.088179944,2.059360032,0.834212156,0.144619904,1.080527972
