City,level,Total,car,airplane,Emission,ocean,oil,river
Liuzhou City,1,0.513823483,0.513788341,3.51E-05,0.510034802,0.05631922,0.349908861,0.103806721
Lu'an City,1,0.22304093,0.22304093,0,0.221529642,0.02250375,0.15761731,0.041408582
Liupanshui City,1,0.344581698,0.34447126,0.000110439,0.34285511,0.034960048,0.243699045,0.064196017
Longyan City,1,0.084743203,0.084735525,7.68E-06,0.084222786,0.008541571,0.059926219,0.015754996
Longnan City,1,0.26714791,0.267111132,3.68E-05,0.265570709,0.026901056,0.189053267,0.049616386
Loudi City,1,0.144901612,0.144901612,0,0.144006292,0.015892344,0.098895784,0.029218164
Luzhou City,1,0.425318749,0.42492708,0.000391669,0.422489566,0.042909175,0.30071375,0.078866641
Luoyang City,1,0.209019349,0.208710662,0.000308688,0.207653192,0.021048508,0.147779616,0.038825068
Luohe City,1,0.243565593,0.243565593,0,0.242096339,0.024511027,0.172342375,0.045242937
L¨¹liang City,1,0.121223811,0.121152793,7.10E-05,0.120395828,0.012245459,0.085702608,0.022447761
Ma'anshan City,1,0.369399088,0.369399088,0,0.367033618,0.037241121,0.261084084,0.068708413
Maoming City,1,0.433402298,0.433402298,0,0.430487045,0.055585919,0.300115957,0.074785169
Meishan City,1,0.502796838,0.502796838,0,0.499730542,0.052756193,0.350127926,0.096846423
Meizhou City,1,0.514583178,0.514525652,5.75E-05,0.511444843,0.054273009,0.357471199,0.099700635
Mianyang City,1,0.360645683,0.359764497,0.000881186,0.358402474,0.036218344,0.255365503,0.066818627
Mudanjiang City,1,0.263960991,0.263938468,2.25E-05,0.262340768,0.026697573,0.186553101,0.049090094
Nagqu City,1,0.441898572,0.441898572,0,0.438791803,0.044586096,0.312138114,0.082067593
Nanchang City,1,0.704248451,0.703806573,0.000441878,0.699612381,0.073768422,0.490638895,0.135205064
Nanchong City,1,0.597950039,0.594371886,0.003578153,0.593937071,0.060395637,0.42183113,0.111710304
Nanjing City,1,1.165658805,1.165273608,0.000385198,1.137616856,0.118974956,0.800236556,0.218405344
Nanning City,1,1.350198625,1.349907155,0.00029147,1.341070457,0.135569141,0.954156131,0.251345185
Nanping City,1,0.06986391,0.069827574,3.63E-05,0.069419341,0.007673402,0.047600604,0.014145335
Nantong City,1,0.317311194,0.317070447,0.000240748,0.309841755,0.035240474,0.227109627,0.047491654
Nanyang City,1,0.331723059,0.331553734,0.000169325,0.329577096,0.033433157,0.234699051,0.061444888
Neijiang City,1,1.343818106,1.343818106,0,1.335515526,0.136421863,0.949315865,0.249777798
Ningbo City,1,1.496092282,1.495941456,0.000150826,1.459574366,0.179813893,1.036240565,0.243519908
Ningde City,1,0.02876658,0.02876658,0,0.028582952,0.003659885,0.020000122,0.004922945
Panzhihua City,1,0.848992451,0.848925364,6.71E-05,0.843841059,0.085385548,0.601228471,0.15722704
Panjin City,1,0.089184943,0.089184943,0,0.088664762,0.010976161,0.06304185,0.014646751
Pingdingshan City,1,0.183096234,0.183096234,0,0.181842124,0.018411829,0.129275218,0.034155077
Pingliang City,1,0.43235554,0.43235554,0,0.429452725,0.043670245,0.305300467,0.080482013
Pingxiang City,1,0.192273364,0.192273364,0,0.19101486,0.021142501,0.130925072,0.038947287
Putian City,1,0.042870466,0.042870466,0,0.042601728,0.005245229,0.030394677,0.006961822
Puyang City,1,0.33342608,0.33342608,0,0.331424203,0.033782846,0.23544917,0.062192187
Pu'er City,1,0.234197675,0.234168673,2.90E-05,0.23281649,0.023557547,0.166014107,0.043244836
Qitaihe City,1,0.194766784,0.194766784,0,0.193594112,0.019727593,0.137558818,0.036307701
Qiqihar City,1,0.040742952,0.04073301,9.94E-06,0.040519896,0.004111343,0.02885549,0.007553063
Qinzhou City,1,0.482882757,0.482882757,0,0.479825761,0.059060857,0.340952883,0.079812021
Qinhuangdao City,1,0.431053394,0.431036347,1.70E-05,0.428625904,0.053095023,0.304614905,0.070915976
Qingdao City,1,0.686278835,0.685207447,0.001071388,0.669738312,0.084572766,0.471745509,0.113420037
Qingyuan City,1,0.59561697,0.59561697,0,0.592139687,0.064993987,0.407388878,0.119756822
Qingyang City,1,0.673187587,0.672884986,0.000302601,0.668310765,0.067885193,0.475167564,0.125258008
Qujing City,1,0.390311457,0.390311457,0,0.387808667,0.039185735,0.27626275,0.072360182
Quzhou City,1,0.130725178,0.130725178,0,0.129867134,0.014317065,0.089076234,0.026473835
Quanzhou City,1,0.329287874,0.329199944,8.79E-05,0.321359064,0.037960365,0.232193685,0.051205014
Shigatse City,1,0.432792647,0.432792647,0,0.430365349,0.047432023,0.295198524,0.087734802
Rizhao City,1,0.297435464,0.296121396,0.001314069,0.295506125,0.036406506,0.21003811,0.049061509
Sanmenxia City,1,0.119047284,0.119047284,0,0.118186327,0.011932523,0.084155154,0.02209865
Sanming City,1,0.033311326,0.033309681,1.64E-06,0.033093943,0.003645719,0.022722635,0.006725589
Sanya City,1,0.038694272,0.037392888,0.001301385,0.038449147,0.004840282,0.027151982,0.006456883
Xiamen City,1,0.335016608,0.329192922,0.005823685,0.332612597,0.041152648,0.236279314,0.055180635
Shannan City,1,0.314365393,0.314365393,0,0.312437667,0.033059875,0.218516563,0.060861229
Shantou City,1,0.40151316,0.40151316,0,0.398855984,0.051126793,0.279386575,0.068342616
Shanwei City,1,0.098677849,0.098677849,0,0.098033014,0.012595709,0.068568094,0.016869211
