City,Category,level,MPs_ge,TWP_ge,MFs_ge,PMs_ge,MPs_em,TWP_em,MFs_em,PMs_em
Xinyang City,Medium-small-cities,8,174.1551077,161.8778544,11.95110808,0.326145174,169.793825,160.6527628,8.910001976,0.231060228
Xingtai City,Medium-small-cities,8,453.3458092,439.2579777,13.68769414,0.400137368,446.4351065,435.9314105,10.22031471,0.283381291
Xuzhou City,Largecities,8,364.1848416,346.5018329,17.22289611,0.460112561,352.7195638,341.483262,10.95731265,0.278989202
Xuchang City,Largecities,8,172.051693,163.0950589,8.78298457,0.173649555,166.498928,160.8032379,5.590154717,0.105535412
Xuancheng City,Medium-small-cities,8,118.5433938,113.1041211,5.309292055,0.129980639,116.3267566,112.2759141,3.95861108,0.092231399
Ya'an City,Medium-small-cities,8,76.45809202,73.51454554,2.862723167,0.080823317,75.14011614,72.95151415,2.131432251,0.057169742
Yantai City,Largecities,8,430.632249,416.3366018,13.99503799,0.300609191,419.5982351,410.4774735,8.938774304,0.181987228
Yan'an City,Medium-small-cities,8,101.9140531,97.5697154,4.232789496,0.111548177,100.1032127,96.868923,3.155477957,0.078811731
Yancheng City,Largecities,8,291.1599521,276.6609521,14.13297285,0.366027093,281.9778429,272.7624223,8.994310887,0.221109736
Yangzhou City,Largecities,8,187.5039993,178.3633804,8.919331729,0.22128718,181.6191789,175.7914145,5.693473453,0.134290944
Yangjiang City,Medium-small-cities,8,105.2158705,100.2396583,4.859127238,0.117084916,103.1934546,99.49651393,3.614087585,0.082853062
Yangquan City,Medium-small-cities,8,76.65513696,73.9082981,2.681645728,0.065193131,75.36435326,73.3160521,2.002215089,0.046086068
Yichun City (Heilongjiang),Medium-small-cities,8,28.97361658,26.83143431,2.08614716,0.056035107,28.25876403,26.65838401,1.560638143,0.039741873
Yibin City,Medium-small-cities,8,199.1349393,188.5435676,10.30281881,0.288552923,195.0503421,187.1694386,7.676610531,0.204292986
Yichang City,Largecities,8,158.7479825,150.4144721,8.171979644,0.161530739,153.5497582,148.2491592,5.202893794,0.097705213
Yichun City (Jiangxi),Medium-small-cities,8,228.6340658,217.6970817,10.64414867,0.292835493,224.3523399,216.1543712,7.990238356,0.207730281
Yiyang City,Medium-small-cities,8,95.66884075,87.10032811,8.34132701,0.227185627,92.92297809,86.52101024,6.241698922,0.16026893
Yinchuan City,Medium-small-cities,8,313.8757232,309.5105811,4.260155822,0.104986312,310.3676929,307.1158492,3.177420182,0.074423616
Yingtan City,Medium-small-cities,8,45.00454297,42.66056616,2.291999015,0.051977789,44.10022848,42.34624855,1.717124458,0.036855469
Yingkou City,Medium-small-cities,8,114.2227971,109.8069454,4.305417524,0.110434169,112.2843446,108.9877821,3.218339711,0.078222773
Yongzhou City,Medium-small-cities,8,104.182055,93.86666869,10.04693927,0.268447085,100.8766133,93.18976415,7.497156366,0.189692752
Yulin City (Shaanxi),Largecities,8,211.3475864,204.3272602,6.835544634,0.184781562,205.8612429,201.3800531,4.369405609,0.111784216
Yulin City (Guangxi),Medium-small-cities,8,199.590559,188.1261049,11.12230471,0.342149364,195.4611887,186.880153,8.338995374,0.242040331
Yuxi City,Medium-small-cities,8,114.0960515,109.5303228,4.448350389,0.117378351,112.1624083,108.7606286,3.318701067,0.083078675
Yueyang City,Largecities,8,131.8932481,120.3986896,11.19167579,0.30288266,126.0400804,118.7308506,7.126225011,0.183004795
Yunfu City,Medium-small-cities,8,76.79315216,71.88056119,4.779581924,0.133009042,74.97929627,71.31421635,3.571071758,0.094008165
Yuncheng City,Medium-small-cities,8,278.2959013,267.9228174,10.11873981,0.254344125,273.7357374,266.0076408,7.547762963,0.180333686
Zaozhuang City,Medium-small-cities,8,241.0767991,233.559413,7.319552048,0.197834058,237.4818311,231.8790628,5.462850141,0.13991819
Zhanjiang City,Largecities,8,167.338521,152.4129799,14.50411281,0.421428293,159.7254933,150.1500248,9.319702243,0.25576625
Zhangjiajie City,Medium-small-cities,8,35.89932856,32.91742249,2.911062161,0.070843906,34.89448522,32.67688142,2.167380481,0.050223322
Zhangjiakou City,Medium-small-cities,8,221.8794225,213.3622976,8.311573207,0.205551643,218.3031281,211.9620008,6.195706024,0.145421361
Zhangye City,Medium-small-cities,8,60.07227092,57.67382509,2.326858175,0.071587654,59.00119442,57.21863947,1.731944939,0.050610015
Zhangzhou City,Largecities,8,121.480493,110.8263207,10.45862692,0.195545404,116.1083709,109.295192,6.694516266,0.118662716
Changchun City,Largecities,8,483.6486767,468.7317133,14.59884022,0.318123117,471.2858264,461.7859289,9.307888971,0.192008482
Changsha City,Extra-large-cities,8,507.8545827,488.2503196,19.238707,0.365556063,466.3818941,456.9016432,9.313301852,0.16694908
Changzhi City,Medium-small-cities,8,210.1135311,203.4081164,6.510982573,0.194432105,206.688457,201.6881971,4.862884206,0.137375665
Zhaotong City,Medium-small-cities,8,107.5119409,96.46047464,10.74697875,0.304487489,103.919707,95.70135229,8.002671306,0.215683455
Zhaoqing City,Medium-small-cities,8,139.8334033,131.6840504,7.921267435,0.228085372,136.8070803,130.7193011,5.926531293,0.16124794
Zhenjiang City,Largecities,8,143.3419483,136.9368099,6.241893924,0.163244534,139.0302705,134.9504226,3.981114158,0.098733798
Zhengzhou City,Extra-large-cities,8,844.5458226,820.7701326,23.34062988,0.435060083,779.0712799,767.6243586,11.24907854,0.197842757
Zhongshan City,Largecities,8,282.3966404,275.4978622,6.74390222,0.154875974,276.0940435,271.6796511,4.320315858,0.094076485
Zhongwei City,Medium-small-cities,8,66.7260677,64.45543827,2.204338272,0.066291157,65.64135737,63.95488695,1.639645816,0.046824607
Chongqing,Megacities,8,978.6602115,898.7395608,78.17636024,1.744290454,706.0774438,675.4512136,29.98697894,0.639251276
Zhoushan City,Medium-small-cities,8,48.79651145,46.93094046,1.819388436,0.046182553,47.94798302,46.55500123,1.360357523,0.032624271
Zhoukou City,Largecities,8,249.0999777,231.6739131,16.98047099,0.445593693,239.5310428,228.3935576,10.86715487,0.270330365
Zhuhai City,Largecities,8,162.9867911,158.9471098,3.952987914,0.08669348,159.2509194,156.6719675,2.526516575,0.052435321
Zhuzhou City,Largecities,8,105.7209894,97.86243877,7.668427501,0.19012317,101.5113432,96.49758683,4.898620708,0.115135657
Zhumadian City,Medium-small-cities,8,192.8827941,179.5347033,12.97704372,0.371047117,188.3026573,178.3524792,9.686856701,0.26332142
Ziyang City,Medium-small-cities,8,80.03133435,73.40580668,6.457885705,0.167641966,77.79801527,72.87425143,4.805176424,0.118587419
Zibo City,Largecities,8,280.5023081,271.1527234,9.152745223,0.196839444,273.2988893,267.3337476,5.846220846,0.118920851
Zigong City,Medium-small-cities,8,110.2653871,104.1057819,5.982187793,0.177417481,107.8371901,103.2725203,4.439084634,0.125585175
Zunyi City,Largecities,8,233.3268692,220.5634797,12.38314159,0.380247907,225.7108093,217.5898464,7.889929423,0.231033452
Altay Prefecture,Medium-small-cities,9,60.19490357,58.69284159,1.439809948,0.062252025,59.34204083,58.22453529,1.073369841,0.044135702
Ankang City,Medium-small-cities,9,88.04776683,81.96668882,5.838936225,0.242141778,85.80784853,81.28872112,4.348059113,0.171068302
Anqing City,Medium-small-cities,9,284.8256905,273.0021878,11.32092093,0.502581726,279.8870352,271.1190333,8.412428904,0.355573049
Anshun City,Medium-small-cities,9,105.4276063,100.0410413,5.167030655,0.219534291,103.3540397,99.35209004,3.846480791,0.155468855
Anyang City,Medium-small-cities,9,420.739473,409.0270312,11.30589885,0.406542932,414.8879281,406.1933047,8.40700823,0.287615213
Anshan City,Medium-small-cities,9,292.3141154,284.6108998,7.397440678,0.305774871,288.2312938,282.4986995,5.515953034,0.216641298
Bayannur City,Medium-small-cities,9,193.1850039,189.3489049,3.675495971,0.160602993,190.7524634,187.9087798,2.729691602,0.113992037
Bazhong City,Medium-small-cities,9,129.9412053,121.7932312,7.823129986,0.324844033,127.0049885,120.9638982,5.811589258,0.229501005
Baicheng City,Medium-small-cities,9,132.028078,127.7007786,4.141055286,0.186244151,130.129532,126.9094143,3.088288674,0.131828997
Baishan City,Medium-small-cities,9,72.61416047,69.95121155,2.561675282,0.101273635,71.40897853,69.42848206,1.908696581,0.071799886
Baiyin City,Medium-small-cities,9,129.2733334,125.3622625,3.740024321,0.171046531,127.2942239,124.3991302,2.773946671,0.121146976
Baise City,Medium-small-cities,9,183.7666325,175.3918602,8.028105627,0.346666575,180.354162,174.1175875,5.990975412,0.245599171
Bengbu City,Medium-small-cities,9,219.4971258,210.7784669,8.392741411,0.325917418,215.6264979,209.1202812,6.275985698,0.230231006
