City,Category,level,population,synthetic fibers,FrequencyMW,FrequencyHW,EF-MW,EF-HW,Load-MW,Load-HW,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Guangzhou City,Megacities,1,70.48152667,0.6842,76.01,73.23,80,13.584,5,3.8,0.14,0.86,0.1,0.5,0.4,1,1,0.02,0.16,0.45,0.37,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Guigang City,Medium-small-cities,1,51.5545734,0.6842,76.01,75.19,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Guiyang City,Largecities,1,50.5815093,0.6842,76.01,62.75,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Guilin City,Medium-small-cities,1,59.48416665,0.6842,76.01,75.19,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Harbin City,Largecities,1,96.7900185,0.6842,76.01,68.55,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hami City,Medium-small-cities,1,6.4879548,0.6842,76.01,63.02,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Haidong City,Medium-small-cities,1,20.08331515,0.6842,76.01,64.29,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Haikou City,Medium-small-cities,1,27.08628045,0.6842,76.01,109.99,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Handan City,Largecities,1,97.16342265,0.6842,76.01,60.55,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hanzhong City,Medium-small-cities,1,39.9912135,0.6842,76.01,67.05,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hangzhou City,Extra-large-cities,1,50.64629827,0.6842,76.01,72.75,80,13.584,5,3.8,0.29,0.71,0.15,0.55,0.3,1,1,0.02,0.02,0.93,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hefei City,Extra-large-cities,1,49.05884562,0.6842,76.01,69.77,80,13.584,5,3.8,0.29,0.71,0.15,0.55,0.3,1,1,0.02,0.02,0.93,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hechi City,Medium-small-cities,1,41.4642678,0.6842,76.01,75.19,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Heyuan City,Medium-small-cities,1,36.1352088,0.6842,76.01,73.23,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Heze City,Largecities,1,89.34940665,0.6842,76.01,64.29,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hezhou City,Medium-small-cities,1,24.26350815,0.6842,76.01,75.19,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hebi City,Medium-small-cities,1,18.965865,0.6842,76.01,62.47,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hegang City,Medium-small-cities,1,11.4609675,0.6842,76.01,68.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Heihe City,Medium-small-cities,1,18.3957255,0.6842,76.01,68.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hengshui City,Medium-small-cities,1,52.19336235,0.6842,76.01,60.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hengyang City,Largecities,1,74.2799547,0.6842,76.01,66.17,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Honghe Hani and Yi Autonomous Prefecture,Medium-small-cities,1,55.5595125,0.6842,76.01,68.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hohhot City,Medium-small-cities,1,36.5005635,0.6842,76.01,65.59,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Hulunbuir City,Medium-small-cities,1,29.48552055,0.6842,76.01,65.59,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Huludao City,Medium-small-cities,1,32.090709,0.6842,76.01,70.86,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Huzhou City,Largecities,1,27.22390965,0.6842,76.01,72.75,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Huaihua City,Medium-small-cities,1,57.98318715,0.6842,76.01,66.17,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Huai'an City,Largecities,1,50.1867387,0.6842,76.01,59.61,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
