City,Category,level,population,synthetic fibers,FrequencyMW,FrequencyHW,EF-MW,EF-HW,Load-MW,Load-HW,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Chizhou City,Medium-small-cities,1,18.82722585,0.6842,76.01,69.77,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chifeng City,Largecities,1,44.275308700000004,0.6842,76.01,65.59,80,13.584000000000001,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.570557894,0.23844210600000001,0.171,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chongzuo City,Medium-small-cities,1,26.47771765,0.6842,76.01,75.19,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chuzhou City,Medium-small-cities,1,52.82504955,0.6842,76.01,69.77,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chuxiong Yi Autonomous Prefecture,Medium-small-cities,1,33.68472184,0.6842,76.01,68.55,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dazhou City,Medium-small-cities,1,73.83365868,0.6842,76.01,65.15,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dali Bai Autonomous Prefecture,Medium-small-cities,1,44.24864186,0.6842,76.01,68.55,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dalian City,Largecities,1,57.55427921,0.6842,76.01,70.86,80,13.584000000000001,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.570557894,0.23844210600000001,0.171,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Daqing City,Medium-small-cities,1,29.97260757,0.6842,76.01,68.55,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Datong City,Medium-small-cities,1,41.05083409,0.6842,76.01,70.23,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dandong City,Medium-small-cities,1,25.60411824,0.6842,76.01,70.86,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Deyang City,Medium-small-cities,1,43.10513478,0.6842,76.01,65.15,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dezhou City,Largecities,1,58.44779028,0.6842,76.01,64.29,80,13.584000000000001,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.570557894,0.23844210600000001,0.171,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Diqing Tibetan Autonomous Prefecture,Medium-small-cities,1,4.890703715,0.6842,76.01,68.55,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dingxi City,Medium-small-cities,1,33.61209434,0.6842,76.01,66.46,80,13.584000000000001,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
