City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Dali Bai Autonomous Prefecture,Medium-small-cities,4,Yunnan Province,49.98,42.48935775,3524.704375,132,14000.19708,85,475.0985416,104,0.140005684,6129.069275,159,24344.78715,102,826.1435751,125,0.213728483,11357.38076,415,45111.74616,267,1530.873078,326,5.711149724,5874.507292,159,23333.66181,102,791.8309026,125,0.336825268,6853.591841,658,27222.60544,423,923.8027197,517,1.088933095,14686.26823,850,58334.15451,546,1979.577257,668,0.034251941,0.011712557,0.053512609,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dalian City,Largecities,4,Liaoning Province,169.4615,147.5701771,8683.378231,132,8551.146705,85,765.4750637,104,0.794897644,15099.42992,159,14869.49399,102,1331.076083,125,1.483017993,27979.7743,415,27553.69494,267,2466.530761,326,12.27543427,14472.29705,159,14251.91118,102,1275.791773,125,0.877946652,16884.34656,658,16627.22971,423,1488.423735,517,6.460026377,36180.74263,850,35629.77794,546,3189.479432,668,0.010165981,0.008501991,0.206114083,0.6,0.743,0.247,0.01,0.55187,0.39963,0.0485,1,1,0.02,0.673173684,0.281326316,0.0255,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Daqing City,Medium-small-cities,4,Heilongjiang Province,97.5303,83.16189506,5521.805206,132,11691.41903,85,786.7757612,104,0.399122359,9601.80572,159,20330.07865,102,1368.115629,125,0.969297159,17792.48344,415,37672.35022,267,2535.166342,326,8.299844495,9203.008677,159,19485.69839,102,1311.292935,125,0.796344136,10736.84346,658,22733.31479,423,1529.841758,517,3.903796792,23007.52169,850,48714.24597,546,3278.232338,668,0.005086443,0.009102379,0.025764476,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Datong City,Medium-small-cities,4,Shanxi Province,78.5117,69.49934147,6397.129412,132,10730.11765,85,872.7529412,104,0.135357348,11123.89725,159,18658.48235,102,1517.620392,125,0.400524613,20612.97255,415,34574.82353,267,2812.203922,326,4.91391554,10661.88235,159,17883.52941,102,1454.588235,125,0.140904781,12438.86275,658,20864.11765,423,1697.019608,517,3.421656249,26654.70588,850,44708.82353,546,3636.470588,668,0.009931304,0.011520447,0.077104349,0.6,0.756,0.234,0.01,0.564,0.396,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dandong City,Medium-small-cities,4,Liaoning Province,34.6818,30.20154647,4731.63836,132,12695.14082,85,573.2208206,104,0.162682858,8227.793371,159,22075.43931,102,996.7673159,125,0.303512794,15246.39027,415,40906.56486,267,1847.044866,326,2.512276571,7886.063934,159,21158.56803,102,955.3680344,125,0.179679574,9200.407923,658,24684.99604,423,1114.59604,517,1.322101733,19715.15984,850,52896.42008,546,2388.420086,668,0.009059372,0.019888408,0.003020835,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Deyang City,Medium-small-cities,4,Sichuan Province,67.79,60.73079239,4152.918228,132,13131.47577,85,715.6060021,104,0.124524081,7221.463364,159,22834.17731,102,1244.359326,125,0.438392998,13381.6254,415,42312.53303,267,2305.841562,326,4.530629582,6921.530381,159,21885.79295,102,1192.67667,125,0.355376944,8075.118777,658,25533.42511,423,1391.456115,517,1.610284008,17303.82595,850,54714.48237,546,2981.691675,668,0.003319553,0.014969041,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dezhou City,Largecities,4,Shandong Province,108.1157,95.07840869,4109.812076,132,13256.31222,85,633.8757014,104,0.186519455,7146.506555,159,23051.25403,102,1102.239414,125,0.615839798,13242.7278,415,42714.78383,267,2042.488371,326,7.923123201,6849.686794,159,22093.8537,102,1056.459502,125,0.371643503,7991.30126,658,25776.16265,423,1232.536086,517,3.940165354,17124.21699,850,55234.63426,546,2641.148756,668,0.005304469,0.01287598,0,0.6,0.756,0.234,0.01,0.572903158,0.378596842,0.0485,1,1,0.02,0.673173684,0.281326316,0.0255,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Diqing Tibetan Autonomous Prefecture,Medium-small-cities,4,Yunnan Province,7.96,6.767012558,4158.157488,132,13765.41431,85,76.42820381,104,0.022297824,7230.573855,159,23936.52599,102,132.9001544,125,0.03403919,13398.50746,415,44355.22388,267,246.2686567,326,0.909578868,6930.262481,159,22942.35718,102,127.3803397,125,0.05364404,8085.306227,658,26766.08338,423,148.6103963,517,0.17342752,17325.6562,850,57355.89295,546,318.4508492,668,0.01906846,0.024539834,0.064897348,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dingxi City,Medium-small-cities,4,Gansu Province,30.58,24.96066725,4033.985446,132,13447.76841,85,518.2461403,104,0.096823219,7014.65247,159,23384.17507,102,901.1724551,125,0.214266198,12998.39755,415,43331.69822,267,1669.90423,326,4.10960774,6723.309077,159,22412.94736,102,863.7435671,125,0.232196423,7843.86059,658,26148.43858,423,1007.700828,517,0.966439167,16808.27269,850,56032.36839,546,2159.358918,668,0.067633796,0.01914189,0,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dongguan City,Medium-small-cities,4,Guangdong Province,322.8715,286.6440939,14972.91866,132,1505.805983,85,1521.275356,104,0.71580252,26036.2419,159,2618.429292,102,2645.328813,125,2.438463448,48246.07124,415,4852.0415,267,4901.887257,326,25.61848863,24954.86444,159,2509.676638,102,2535.458926,125,1.549977052,29114.00851,658,2927.956078,423,2958.035414,517,5.904674482,62387.16109,850,6274.191595,546,6338.647315,668,0.010679898,0.008469242,0,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
