City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Bijie City,Medium-small-cities,1,Guizhou Province,58.2,50.39069969,1589.409738,132,17619.34899,85,591.241273,104,0.207676623,2763.806933,159,30638.09019,102,1028.10288,125,0.341732432,5121.431378,415,56773.45785,267,1905.110769,326,5.920431975,2649.01623,159,29365.58165,102,985.4021217,125,0.321953706,3090.518935,658,34259.84526,423,1149.635809,517,1.01750557,6622.540575,850,73413.95412,546,2463.505304,668,0.001797516,0.000820836,0.000143532,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Binzhou City,Medium-small-cities,1,Shandong Province,95.6195,84.08908141,3179.21213,132,15892.16097,85,728.6268971,104,0.164961213,5528.296648,159,27634.70214,102,1267.001215,125,0.544659967,10244.12797,415,51208.07425,267,2347.797779,326,7.007354889,5298.686883,159,26486.93495,102,1214.378162,125,0.328688303,6181.801364,658,30901.42411,423,1416.774522,517,3.484754213,13246.71721,850,66217.33739,546,3035.945405,668,2.23E-05,0.000433185,0,0.6,0.73,0.26,0.01,0.54,0.42,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Bozhou City,Medium-small-cities,1,Anhui Province,63.1152,54.0557256,2752.319824,132,16660.37044,85,387.3097378,104,0.172568071,4785.978361,159,28970.53304,102,673.4885995,125,0.396836698,8868.586099,415,53683.41586,267,1247.998044,326,5.376857792,4587.199707,159,27767.28406,102,645.5162296,125,0.221474002,5351.732991,658,32395.16474,423,753.1022679,517,2.891737838,11467.99927,850,69418.21016,546,1613.790574,668,0.000204196,0.000136225,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Cangzhou City,Largecities,1,Hebei Province,85.0947,73.68778557,3458.941643,132,15710.30154,85,630.7568212,104,0.114095075,6014.715191,159,27318.46878,102,1096.816028,125,0.350064435,11145.47863,415,50622.08273,267,2032.438646,326,6.978469678,5764.902739,159,26183.83589,102,1051.261369,125,0.229227378,6725.719862,658,30547.80854,423,1226.471597,517,3.735057864,14412.25685,850,65459.58973,546,2628.153422,668,0.00011227,0.000263283,0,0.6,0.73,0.26,0.01,0.531673684,0.421326316,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Chamdo City,Medium-small-cities,1,Tibet Autonomous Region,13.7757,9.001351382,1942.710598,132,17593.92814,85,263.3612583,104,0.072150135,3378.157873,159,30593.88616,102,457.9559659,125,0.106981235,6259.84526,415,56691.54624,267,848.6084991,326,3.092504082,3237.850996,159,29323.21357,102,438.9354306,125,0.462756041,3777.492829,658,34210.41584,423,512.0913357,517,1.039957125,8094.627491,850,73308.03393,546,1097.338576,668,0.002770991,0.000786633,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changde City,Largecities,1,Hunan Province,62.3495,55.72264954,1913.478434,132,17510.64412,85,375.8774447,104,0.302789673,3327.326387,159,30449.0645,102,653.6091122,125,0.44303667,6165.652731,415,56423.18661,267,1211.160655,326,4.253439723,3189.130723,159,29184.40687,102,626.4624078,125,0.354573179,3720.65251,658,34048.47468,423,730.8728091,517,1.273011212,7972.826807,850,72961.01717,546,1566.15602,668,8.30E-05,0.000333266,0.000418849,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changzhou City,Largecities,1,Jiangsu Province,147.72,136.7421162,5666.474195,132,13100.30168,85,1033.224121,104,0.306471419,9853.369018,159,22779.96904,102,1796.661944,125,0.893810317,18258.63907,415,42212.0832,267,3329.277723,326,5.012941368,9444.123659,159,21833.83614,102,1722.040202,125,0.867430498,11018.14427,658,25472.80883,423,2009.046902,517,3.897230226,23610.30915,850,54584.59035,546,4305.100504,668,8.83E-05,0.000121777,0.000130616,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaohu City,Medium-small-cities,1,Anhui Province,9.5791,8.204128341,4907.629326,132,14516.56122,85,375.8094529,104,0.026190946,8533.822106,159,25242.68701,102,653.490882,125,0.060228573,15813.47227,415,46775.58616,267,1210.941571,326,0.816054746,8179.382211,159,24194.2687,102,626.3490882,125,0.033613482,9542.612579,658,28226.64682,423,730.7406029,517,0.438883913,20448.45553,850,60485.67175,546,1565.872721,668,0.000804909,0.00026874,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaoyang City,Medium-small-cities,1,Liaoning Province,41.8232,36.42040835,3535.954821,132,15601.50273,85,662.5424466,104,0.196181216,6148.632551,159,27129.27975,102,1152.087699,125,0.366009732,11393.6322,415,50271.5088,267,2134.858995,326,3.029584551,5893.258036,159,26002.50455,102,1104.237411,125,0.216677761,6875.467708,658,30336.25531,423,1288.27698,517,1.59433839,14733.14509,850,65006.26138,546,2760.593528,668,8.10E-05,0.000338189,0.003239192,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaozhou City,Medium-small-cities,1,Guangdong Province,37.4376,33.23695937,4020.407202,132,15086.42851,85,693.1642849,104,0.082998742,6991.041412,159,26233.62291,102,1205.335673,125,0.282744743,12954.64543,415,48611.82521,267,2233.529362,326,2.970515297,6700.67867,159,25144.04752,102,1155.273808,125,0.179722957,7817.458448,658,29334.72211,423,1347.819443,517,0.684658886,16751.69667,850,62860.11881,546,2888.18452,668,0.000275388,0.000230034,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
