City,GDP,Urban resident population,Urban area
Yichang City,4460.82,94.15,541
Yichun City (Jiangxi),2687.57,72,115
Yiyang City,1792.46,66.92,109.66
Yinchuan City,1896.7883,154.46,562.49
Yingtan City,941.26,34.12,101
Yingkou City,1328,90.43,538.25
Yongzhou City,2016.86,57.51,100
Yulin City (Shaanxi),4149.12,59.28,179
Yulin City (Guangxi),1679.77,77.06,302.04
Yuxi City,1949.71,42.35,102.02
Yueyang City,3780.41,92.8,167
Yunfu City,944.14,29.03,368.13
Yuncheng City,1562.9,57,88.9
Zaozhuang City,1693.91,106.38,359.1
Zhanjiang City,3055.9,89.44,115.5
Zhangjiajie City,552.1,28.65,55.2
Zhangjiakou City,1551.06,109.02,407.45
Zhangye City,448.7331,29.14,200
Zhangzhou City,4741.83,53,91.51
Changchun City,5904.1375,462.22,3427.42
Changsha City,11574.22,384.75,1199.84
Changzhi City,1652.1,77.14,76.2
Zhaotong City,1194.2,32.7,61
Zhaoqing City,2250.67,85.24,416.65
Zhenjiang City,4127.32,88.86,555.43
Zhengzhou City,11589.72,670.41,762.41
Zhongshan City,3101.1,92.82,257.34
Zhongwei City,437.6463,14.77,64.7
Chongqing,23605.77,1540.88,7659.78
Zhoushan City,1371.6,62.29,578.7
Zhoukou City,3198.49,44.63,100
Zhuhai City,3435.89,299.49,761.69
Zhuzhou City,3003.13,116.47,864
Zhumadian City,2742.06,51.55,185
Ziyang City,777.8,33.15,249.23
Zibo City,3642.42,183.84,705.1
Zigong City,1428.49,117.42,778.32
Zunyi City,3483.32,116,531.51
