City,Category,level,Province,Consumption-yagao,Consumption-myl,Consumption-msg,Consumption-xmn,PCPpercent,PPUW-yagao,PPUW-myl,PPUW-msg,PPUW-xmn,PMs-yagao,PMs-myl,PMs-msg,PMs-xmn,EF-yagao,EF-myl,EF-msg,EF-xmn,TC13,TC14,TC23,TC24,TC25,TC313,TC46,TC47,TC48,TC49,TC514,TC515,TC516,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1116,TC1318,TC1319,TC1617,TC1618,TC1819,TC1820
Dali Bai Autonomous Prefecture,Medium-small-cities,1,Yunnan Province,0.653206171,0.615208028,0.078322703,0.522151352,0.000115164,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Dalian City,Largecities,1,Liaoning Province,1.080614907,1.017753652,0.129571158,0.863807721,5.16E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.44,0.56,0.02,0.02,0.96,1,0.02,0.608712631,0.345609888,0.025677481,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
Daqing City,Medium-small-cities,1,Heilongjiang Province,0.495815792,0.466973322,0.059450805,0.396338702,3.09E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Datong City,Medium-small-cities,1,Shanxi Province,0.625049177,0.588688975,0.074946538,0.499643584,5.62E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Dandong City,Medium-small-cities,1,Liaoning Province,0.420369487,0.39591586,0.050404414,0.336029428,0.000179797,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
Deyang City,Medium-small-cities,1,Sichuan Province,0.693997714,0.653626656,0.083213814,0.554758759,0.000149994,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Dezhou City,Largecities,1,Shandong Province,1.037567194,0.9772101,0.124409521,0.829396807,5.64E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.44,0.56,0.02,0.02,0.96,1,0.02,0.608712631,0.345609888,0.025677481,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Diqing Tibetan Autonomous Prefecture,Medium-small-cities,1,Yunnan Province,0.072197422,0.067997572,0.008656834,0.057712225,0.000240552,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Dingxi City,Medium-small-cities,1,Gansu Province,0.510038684,0.480368844,0.061156202,0.40770801,0.000212541,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Dongguan City,Medium-small-cities,1,Guangdong Province,1.527787686,1.43891361,0.183189422,1.221262812,3.45E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
Dongying City,Largecities,1,Shandong Province,0.393421799,0.370535767,0.047173251,0.31448834,2.35E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.44,0.56,0.02,0.02,0.96,1,0.02,0.608712631,0.345609888,0.025677481,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
Ordos City,Largecities,1,Inner Mongolia Autonomous Region,0.376798343,0.354879326,0.045180015,0.3012001,7.28E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.44,0.56,0.02,0.02,0.96,1,0.02,0.608712631,0.345609888,0.025677481,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Ezhou City,Medium-small-cities,1,Hubei Province,0.191269019,0.180142566,0.022934117,0.152894111,9.86E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Enshi Tujia and Miao Autonomous Prefecture,Medium-small-cities,1,Hubei Province,0.611873147,0.576279419,0.073366665,0.489111103,7.32E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Fangchenggang City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,0.173923588,0.16380615,0.020854312,0.139028749,5.60E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.882,0.049,0.049,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
Foshan City,Extra-large-cities,1,Guangdong Province,1.472574708,1.386912467,0.176569108,1.177127388,4.10E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.29,0.71,0.02,0.02,0.96,1,0.02,0.018,0.9319375,0.0300625,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
